AAPL,FB,NFLX,V,XOM
363.129993,,237.719994,75.959999,83.690002
358.300003,,235.630013,76.139999,83.879997
350.560013,,235.51001,75.83000200000001,84.5
338.60999300000003,,221.599998,73.739998,85.440002
342.619991,,211.200001,72.879997,87.07
342.879997,,215.179998,73.910004,85.970001
348.160011,,212.440002,74.68,85.339996
353.210007,,206.670004,73.050003,85.529999
349.309998,,204.629997,72.699997,84.800003
352.119995,,204.230001,73.970001,85.08000200000001
359.560005,,203.369995,75.83000200000001,85.82
359.999989,,210.720003,74.690002,85.08000200000001
355.35998900000004,,207.399994,74.150002,84.720001
355.759998,,195.450001,74.16999799999999,84.599998
352.46999,,192.989998,73.709999,84.379997
346.66999100000004,,200.019999,71.400002,81.379997
351.990005,,204.539995,72.510002,82.120003
353.560001,,201.199999,71.860001,82.379997
345.42998900000003,,217.110003,71.199997,81.389999
330.01001,,213.839994,70.959999,79.309998
334.639996,,213.899996,71.43,81.160004
330.669998,,209.4,71.41999799999999,80.849998
339.299995,,212.839998,71.959999,82.839996
341.200012,,221.389994,71.599998,82.559998
339.190006,,229.060009,71.989998,82.599998
344.970005,,229.12999700000003,72.660004,82.730003
351.540009,,230.009991,72.089996,83.620003
350.44001000000003,,237.320011,72.75,83.470001
350.959995,,237.380013,72.199997,83.25
348.630009,,237.950012,74.230003,84.489998
348.51000600000003,,237.779995,73.620003,84.129997
344.560009,,242.09,74.220001,84.68
341.189999,,244.719994,75.239998,84.870003
338.88999900000005,,244.229996,75.620003,85.41999799999999
338.03999300000004,,239.970005,76.0,85.18
338.079994,,233.959988,76.410004,85.760002
335.060005,,234.860008,76.720001,85.949997
330.799988,,228.159988,77.709999,85.160004
332.399998,,233.919987,77.029999,83.18
336.12999,,238.750004,77.5,83.160004
332.419998,,236.730011,76.309998,83.440002
327.459991,,235.490009,76.470001,84.290001
331.849998,,233.330013,75.68,83.099998
337.85998900000004,,241.549988,75.91999799999999,83.800003
342.41,,244.43,77.370003,85.650002
350.699989,,252.220005,77.769997,86.360001
353.010002,,251.670006,77.760002,86.220001
350.42001,,228.909992,78.769997,87.41999799999999
350.14999,,235.960007,78.889999,87.779999
346.749992,,234.37001,77.660004,87.339996
350.12999,,232.669998,78.120003,87.980003
346.27999500000004,,237.189995,79.139999,86.970001
348.200012,,231.240005,80.0,85.620003
349.570004,,229.18999900000003,79.769997,84.809998
346.749992,,230.309998,78.699997,82.620003
346.660004,,229.470005,79.410004,82.690002
347.599998,,236.410004,79.860001,83.18
349.450001,,237.630005,80.349998,83.339996
347.23000299999995,,240.669994,79.339996,81.120003
346.569988,,245.770004,79.93,81.050003
340.499996,,246.520008,79.910004,80.870003
333.299992,,237.089993,79.940002,80.239998
336.140003,,236.940002,80.599998,80.410004
339.869995,,242.53999700000003,80.010002,81.739998
340.53001,,242.729988,79.639999,82.33000200000001
335.220009,,245.899994,78.230003,81.57
334.39999,,247.829998,76.91999799999999,80.66999799999999
332.190006,,247.600006,77.599998,81.290001
336.779991,,259.46999700000003,78.75,81.959999
335.000004,,263.749989,79.290001,82.389999
337.409992,,264.51000600000003,79.800003,82.629997
347.82999,,270.800003,81.059998,83.470001
345.509991,,267.260002,79.18,82.029999
346.099991,,271.699997,80.699997,81.33000200000001
343.44001000000003,,273.699989,79.129997,81.18
338.03999300000004,,262.589989,78.199997,80.290001
332.039989,,263.68998700000003,79.82,80.0
332.239994,,262.259995,76.709999,80.760002
331.48999,,262.569988,76.43,81.18
325.900009,,258.619991,74.690002,79.779999
326.599998,,257.220013,74.860001,79.230003
332.439999,,261.130009,75.93,80.379997
326.749989,,257.12001000000004,74.839996,78.660004
325.159992,,249.299992,74.879997,79.220001
320.259987,,245.670002,74.43,79.019997
315.320007,,245.630001,74.050003,79.709999
325.299995,,253.649998,74.989998,80.57
322.61000099999995,,248.660004,74.660004,79.82
331.230011,,255.720005,75.309998,78.440002
326.350006,,256.960007,73.370003,76.779999
332.039989,,260.119999,73.889999,77.91999799999999
335.26001,,265.089993,75.279999,79.629997
334.040009,,264.940002,86.57,80.25
335.670006,,262.689991,84.260002,81.379997
343.26000600000003,,267.990005,87.970001,82.010002
349.43,,289.629993,88.32,81.599998
351.759987,,290.960011,88.199997,81.57
357.200005,,292.41999100000004,90.150002,82.360001
359.709995,,295.13999900000005,89.730003,82.41999799999999
354.000011,,290.740005,87.900002,81.900002
353.749992,,291.27000400000003,87.699997,81.889999
358.01999700000005,,298.729988,88.739998,82.480003
357.77000400000003,,286.619991,87.940002,82.239998
364.919994,,286.93001200000003,88.75,83.0
373.800011,,279.000004,88.07,82.650002
376.849987,,287.28999300000004,89.209999,83.629997
386.89999,,281.400005,88.639999,83.300003
387.290012,,275.809998,88.050003,85.019997
393.300003,,276.580002,89.519997,85.220001
398.499989,,281.52999500000004,89.08000200000001,84.57
403.410007,,266.910007,89.199997,84.370003
392.59,,269.419998,87.75,83.309998
391.819996,,266.61998700000004,86.91999799999999,81.459999
390.479992,,265.990013,85.540001,79.790001
396.749989,,263.379993,85.68,79.599998
388.909996,,257.200012,83.559998,77.839996
392.57,,259.999996,87.480003,77.720001
377.369999,,245.770004,84.989998,73.839996
373.620007,,241.110004,83.410004,74.82
353.210007,,226.640007,79.239998,70.190002
374.010002,,237.799995,82.760002,71.639999
363.690006,,232.420006,79.279999,68.029999
373.700008,,243.12999700000003,84.519997,71.58000200000001
376.98999,,244.000004,83.83000200000001,72.0
383.410004,,246.280003,85.870003,74.290001
380.480003,,239.03999700000003,85.83000200000001,73.5
380.440002,,232.240002,83.989998,74.160004
366.050007,,217.479998,80.290001,70.940002
356.029991,,205.209997,79.599998,69.800003
356.43998700000003,,205.209997,79.790001,70.18
373.600006,,219.540005,83.769997,73.660004
376.180012,,216.030005,86.379997,73.540001
373.720009,,215.83,84.110001,71.769997
383.579994,,221.890005,85.849998,72.639999
389.969994,,225.03999700000003,86.58000200000001,74.120003
389.989994,,236.279987,87.93,73.910004
384.830009,,235.009998,87.879997,74.019997
381.030003,,233.270012,87.730003,73.489998
374.050003,,213.110004,85.550003,72.139999
379.740013,,218.77,85.860001,71.150002
383.929989,,216.000004,88.480003,73.650002
